"strain"	"country"
"AB519681.1|2001"	"Brazil"
"AB608789.1|1994"	"Taiwan"
"AY496871.2|2002"	"Bangladesh"
"AY496879.2|1997"	"Philippines"
"AY732483.1|1981"	"Thailand"
"DQ181801.1|1990"	"Thailand"
"DQ181803.1|1985"	"Thailand"
"DQ285559.1|2004"	"Reunion"
"DQ448231.2|2001"	"India"
"DQ675519.1|1995"	"Taiwan"
"DQ675533.1|1999"	"Taiwan"
"EF105379.1|1970"	"Malaysia"
"EF105385.1|1974"	"Senegal"
"EF105386.1|1980"	"Burkina Faso"
"EF105388.1|1966"	"Nigeria"
"EF457905.1|1972"	"Malaysia"
"EF457906.1|1975"	"Malaysia"
"EU081210.1|2005"	"Singapore"
"EU081214.1|2005"	"Singapore"
"EU081217.1|2005"	"Singapore"
"EU081225.1|2005"	"Singapore"
"EU081258.1|2005"	"Singapore"
"EU179859.1|2006"	"Brunei"
"EU179860.1|2005"	"Brunei"
"EU482449.1|2006"	"Vietnam"
"EU482452.1|2006"	"Vietnam"
"EU482456.1|2006"	"Vietnam"
"EU482462.1|2007"	"Vietnam"
"EU482545.1|1998"	"USA"
"EU482567.1|1998"	"USA"
"EU482607.1|2007"	"Venezuela"
"EU482635.1|2005"	"Nicaragua"
"EU482639.1|2006"	"Nicaragua"
"EU482721.1|2006"	"USA"
"EU482726.1|2006"	"USA"
"EU482789.1|2003"	"Vietnam"
"EU482811.1|2006"	"Vietnam"
"EU529706.1|2006"	"USA"
"EU596494.1|2007"	"USA"
"EU596500.1|2007"	"Nicaragua"
"EU660411.1|2006"	"Vietnam"
"EU677173.1|2007"	"Vietnam"
"EU687212.1|1998"	"USA"
"EU726775.1|1996"	"Venezuela"
"EU854292.1|2005"	"Venezuela"
"EU920828.1|1993-02"	"French Guiana"
"EU920835.1|2002-04"	"French Guiana"
"EU920839.1|2005-09"	"Martinique"
"EU920840.1|2005-10"	"French Guiana"
"FJ196847.1|1997"	"China"
"FJ196848.1|1999"	"China"
"FJ196849.1|1978"	"China"
"FJ196853.1|2003"	"China"
"FJ205875.1|1995"	"USA"
"FJ390380.1|1998"	"USA"
"FJ410184.1|1993"	"USA"
"FJ410230.1|2008"	"Vietnam"
"FJ410257.1|2008"	"Vietnam"
"FJ410269.1|2008"	"Vietnam"
"FJ432741.1|2007"	"Vietnam"
"FJ467493.1|2008"	"Malaysia"
"FJ469907.1|2003"	"Singapore"
"FJ469909.1|2003"	"Singapore"
"FJ547081.1|2001"	"USA"
"FJ639678.1|2003"	"Cambodia"
"FJ639699.1|2002"	"Cambodia"
"FJ639715.1|2008"	"Cambodia"
"FJ639735.1|1997"	"Venezuela"
"FJ639794.1|2004"	"Venezuela"
"FJ639819.1|2006"	"Venezuela"
"FJ639828.1|2001"	"Thailand"
"FJ644564.1|2007"	"India"
"FJ687436.1|2001"	"Thailand"
